"Query#","IDCG@10","BM25_DCG@10","Rerank_DCG@10","Dense_DCG@10","Text"
23849,31.804915366618413,0.2890648263178878,16.689854259396533,22.93069369495727,"are naturalization records public information"
42255,18.7710512655814,14.9165082750002,17.075732428174042,13.514735906513753,"average salary for dental hygienist in nebraska"
47210,28.182676571548022,17.951615323586775,26.772612798586827,23.132664141911906,"average wedding dress alteration cost"
67316,26.849343238214693,7.0,17.369096370924,0.7890648263178879,"can fever cause miscarriage early pregnancy"
118440,31.804915366618413,4.4165082750002025,8.857051577981403,4.9165082750002025,"define bmt medical"
121171,13.630678014265035,5.056649103653413,6.153272955427946,8.268831952706009,"define etruscans"
135802,13.05254836162926,12.763483535311373,9.850382753865262,8.405005075502428,"definition of laudable"
141630,20.154397028550864,6.472085511897927,12.465213542127314,5.145619329416308,"describe how muscles and bones work together to produce movement"
156498,15.81955861672984,4.901788907020143,11.396067615340273,0.8333333333333333,"do google docs auto save"
169208,23.87710326084444,6.4525880959238044,9.816976321918247,7.297251042587794,"does mississippi have an income tax"
174463,17.630678014265033,7.4165082750002025,9.716678421164763,11.199568244459641,"dog day afternoon meaning"
258062,31.804915366618413,9.023453784225213,20.89909893987164,3.999999324861971,"how long does it take to remove wisdom tooth"
324585,31.804915366618413,7.0,22.972547165489072,29.471582033285088,"how much money do motivational speakers make"
330975,31.804915366618413,5.946038405679959,21.842976885163488,12.495304212257357,"how much would it cost to install my own wind turbine"
332593,26.849343238214693,11.219453000293806,18.12310134357489,7.820262428119192,"how often to button quail lay eggs"
336901,14.9165082750002,3.014735906513752,10.014735906513751,7.0,"how old is vanessa redgrave"
390360,26.849343238214693,7.316916128543919,16.497263314073056,12.713258765089428,"ia suffix meaning"
405163,31.804915366618413,15.246708288661921,2.1072099696478683,0.0,"is caffeine an narcotic"
555530,13.630678014265035,0.3868528072345416,5.054357908886661,5.6122735206797065,"what are best foods to lower cholesterol"
583468,31.804915366618413,24.143953229684453,29.220856018178054,23.45376613984866,"what carvedilol used for"
640502,31.804915366618413,12.201419960397944,31.804915366618413,21.483999486120783,"what does it mean if your tsh is low"
673670,29.444536078690945,4.892789260714372,11.4165082750002,12.516884837183676,"what is a alm"
701453,23.87710326084444,19.768541251244844,22.633186696164962,9.578384315209322,"what is a statutory deed"
730539,17.630678014265033,12.629296253917301,10.658161197241894,11.18273205494086,"what is chronometer who invented it"
768208,22.065983863309242,12.406075075354144,17.028338611409268,11.273479298838678,"what is mamey"
877809,31.804915366618413,17.95631607813879,24.609896257986623,23.469364411727177,"what metal are hip replacements made of"
911232,13.666771961378048,5.749755712591928,10.726122594047702,9.995983043192659,"what type of conflict does della face in o, henry the gift of the magi"
914916,31.804915366618413,12.093130290294113,9.466723439533904,9.0164059787389,"what type of tissue are bronchioles"
938400,31.804915366618413,0.0,17.27287664853846,25.48646706027073,"when did family feud come out?"
940547,13.630678014265035,4.945859079330484,6.390415648718751,4.674489091659804,"when did rock n roll begin?"
997622,31.804915366618413,9.478732993720168,31.804915366618413,25.346555400563034,"where is the show shameless filmed"
1030303,20.16042416454164,19.08560846251293,14.291888970223772,2.333333333333333,"who is aziz hashim"
1037496,31.804915366618413,13.9137922056359,30.648656061346866,27.25774256810737,"who is rep scalise?"
1043135,29.444536078690945,15.407525167228124,23.87710326084444,3.2476752714631285,"who killed nicholas ii of russia"
1051399,22.154397028550857,0.0,18.324303857326445,16.336546755855604,"who sings monk theme song"
1064670,9.666771961378048,6.939725036603284,6.657175504919072,5.380299806094905,"why do hunters pattern their shotguns?"
1071750,18.974207384587125,6.847469127403145,12.071579120901802,7.108510860011791,"why is pete rose banned from hall of fame"
1105792,11.81955861672984,8.500950096341658,8.247332251295576,8.789069122140733,"define: geon"
1106979,20.154397028550864,14.576267375915089,16.234128808830107,10.995304212257357,"define pareto chart in statistics"
1108651,31.804915366618413,7.0,24.86406890061951,20.651152458279945,"what the best way to get clothes white"
1109707,31.804915366618413,23.126637005921122,22.402432812544532,6.418106178673197,"what medium do radio waves travel through"
1110678,9.666771961378048,2.939927524959156,7.041408953824532,4.1342774332557095,"what is the un fao"
1113256,28.182676571548022,27.475333568234838,28.182676571548022,27.00560254348625,"what is reba mcentire's net worth"
1115210,12.80541884523126,2.9484591188793923,2.4615884173676057,4.303800732831639,"what is chaff and flare"
1116380,17.676610964349,0.6309297535714574,0.8868528072345416,0.0,"what is a nonconformity? earth science"
1121353,8.805418845231257,3.9873256617268074,7.881990689916058,7.3054188452312605,"what can you do about discrimination in the workplace in oklahoma city"
1122767,31.804915366618413,15.547344732166335,22.064596712906507,20.883244447823763,"what amino produces carnitine"
1127540,26.849343238214693,23.747494571293085,24.791603713727703,13.449898151054967,"meaning of shebang"
1131069,14.9165082750002,7.0,13.514735906513753,14.916508275000202,"how many sons robert kraft has"
1132532,31.804915366618413,5.753875494704992,27.208455571694326,10.091817658324464,"average annual income data analyst"
1133579,22.154397028550857,7.996671719285523,10.857157642330543,12.691507568777368,"how does granulation tissue start"
1136043,26.849343238214693,11.4638443428845,18.302354302129263,5.9465858208101725,"difference between a hotel and motel"
1136047,17.676610964349,7.903089986991943,10.31358910931085,6.9732627332105634,"difference between a company's strategy and business model is"
1136962,31.804915366618413,24.040494025348586,23.804915366618413,31.804915366618424,"why did the ancient egyptians call their land kemet, or black land?"
