"Query#","original","noisy-translation-pt","IDCG@10","Text"
23849,0.2890648263178879,0.38685280723454163,31.804915366618413,"are naturalization records public information"
42255,14.916508275000202,14.916508275000202,18.7710512655814,"average salary for dental hygienist in nebraska"
47210,17.951615323586772,0.0,28.182676571548022,"average wedding dress alteration cost"
67316,7.0,7.0,26.849343238214693,"can fever cause miscarriage early pregnancy"
118440,4.4165082750002025,4.4165082750002025,31.804915366618413,"define bmt medical"
121171,5.056649103653414,5.056649103653414,13.630678014265035,"define etruscans"
135802,12.763483535311375,0.0,13.05254836162926,"definition of laudable"
141630,6.472085511897927,6.472085511897927,20.154397028550864,"describe how muscles and bones work together to produce movement"
156498,4.901788907020145,12.646836546902579,15.81955861672984,"do google docs auto save"
169208,6.4525880959238044,10.747443207680833,23.87710326084444,"does mississippi have an income tax"
174463,7.4165082750002025,7.4165082750002025,17.630678014265033,"dog day afternoon meaning"
258062,9.023453784225214,9.023453784225214,31.804915366618413,"how long does it take to remove wisdom tooth"
324585,7.0,7.0,31.804915366618413,"how much money do motivational speakers make"
330975,5.94603840567996,5.94603840567996,31.804915366618413,"how much would it cost to install my own wind turbine"
332593,11.219453000293806,11.219453000293806,26.849343238214693,"how often to button quail lay eggs"
336901,3.0147359065137516,3.0147359065137516,14.9165082750002,"how old is vanessa redgrave"
390360,7.31691612854392,7.31691612854392,26.849343238214693,"ia suffix meaning"
405163,15.246708288661925,15.246708288661925,31.804915366618413,"is caffeine an narcotic"
555530,0.38685280723454163,0.38685280723454163,13.630678014265035,"what are best foods to lower cholesterol"
583468,24.143953229684456,24.143953229684456,31.804915366618413,"what carvedilol used for"
640502,12.201419960397946,12.201419960397946,31.804915366618413,"what does it mean if your tsh is low"
673670,4.892789260714372,0.0,29.444536078690945,"what is a alm"
701453,19.768541251244848,0.0,23.87710326084444,"what is a statutory deed"
730539,12.629296253917303,0.0,17.630678014265033,"what is chronometer who invented it"
768208,12.406075075354144,12.406075075354144,22.065983863309242,"what is mamey"
877809,17.95631607813879,17.95631607813879,31.804915366618413,"what metal are hip replacements made of"
911232,5.749755712591931,3.5,13.666771961378048,"what type of conflict does della face in o, henry the gift of the magi"
914916,12.093130290294111,9.133662816382717,31.804915366618413,"what type of tissue are bronchioles"
938400,0.0,4.3811209150694745,31.804915366618413,"when did family feud come out?"
940547,4.945859079330485,8.845377356638178,13.630678014265035,"when did rock n roll begin?"
997622,9.478732993720168,9.478732993720168,31.804915366618413,"where is the show shameless filmed"
1030303,19.085608462512933,3.5,20.16042416454164,"who is aziz hashim"
1037496,13.9137922056359,13.9137922056359,31.804915366618413,"who is rep scalise?"
1043135,15.407525167228124,0.0,29.444536078690945,"who killed nicholas ii of russia"
1051399,0.0,0.0,22.154397028550857,"who sings monk theme song"
1064670,6.939725036603284,5.9178134987528725,9.666771961378048,"why do hunters pattern their shotguns?"
1071750,6.847469127403145,6.847469127403145,18.974207384587125,"why is pete rose banned from hall of fame"
1105792,8.500950096341658,8.500950096341658,11.81955861672984,"define: geon"
1106979,14.576267375915092,14.139380836869615,20.154397028550864,"define pareto chart in statistics"
1108651,7.0,7.0,31.804915366618413,"what the best way to get clothes white"
1109707,23.126637005921122,6.398982726280991,31.804915366618413,"what medium do radio waves travel through"
1110678,2.939927524959156,2.939927524959156,9.666771961378048,"what is the un fao"
1113256,27.475333568234845,10.213276073260879,28.182676571548022,"what is reba mcentire's net worth"
1115210,2.9484591188793923,0.0,12.80541884523126,"what is chaff and flare"
1116380,0.6309297535714575,0.0,17.676610964349,"what is a nonconformity? earth science"
1121353,3.987325661726807,3.987325661726807,8.805418845231257,"what can you do about discrimination in the workplace in oklahoma city"
1122767,15.547344732166339,15.309951537506011,31.804915366618413,"what amino produces carnitine"
1127540,23.74749457129309,23.74749457129309,26.849343238214693,"meaning of shebang"
1131069,7.0,2.1072099696478683,14.9165082750002,"how many sons robert kraft has"
1132532,5.753875494704994,5.753875494704994,31.804915366618413,"average annual income data analyst"
1133579,7.996671719285523,10.044865825459333,22.154397028550857,"how does granulation tissue start"
1136043,11.463844342884503,11.463844342884503,26.849343238214693,"difference between a hotel and motel"
1136047,7.903089986991944,7.903089986991944,17.676610964349,"difference between a company's strategy and business model is"
1136962,24.040494025348586,24.040494025348586,31.804915366618413,"why did the ancient egyptians call their land kemet, or black land?"
